nombre;poblacion;superficie;continente
Argentina;45376763;2780400;América
Japón;125800000;377975;Asia
Brasil;213993437;8515767;América
Alemania;83149300;357022;Europa
Canada;38008005;9984670;América
Estados Unidos;331893745;9833517;América
México;128932753;1964375;América
Chile;19116209;756102;América
Perú;33359418;1285216;América
Colombia;51516562;1141748;América
Uruguay;3473730;176215;América
Paraguay;7132530;406752;América
Bolivia;11832940;1098581;América
Venezuela;28270400;916445;América
Ecuador;17888475;283561;América
China;1412600000;9596961;Asia
India;1407563842;3287263;Asia
Corea del Sur;51780000;100210;Asia
Corea del Norte;25778816;120538;Asia
Tailandia;69950850;513120;Asia
Vietnam;98168829;331212;Asia
Indonesia;276361783;1904569;Asia
Filipinas;111046910;300000;Asia
Malasia;32776194;330803;Asia
Singapur;5685807;728;Asia
Pakistán;225199937;881913;Asia
Arabia Saudita;35340680;2149690;Asia
Israel;9364000;22072;Asia
Turquía;84680273;783562;Asia
Rusia;146171015;17098242;Europa
Francia;67391582;551695;Europa
Italia;59554023;301340;Europa
España;47351567;505990;Europa
Portugal;10305564;92212;Europa
Reino Unido;68207114;243610;Europa
Irlanda;5033164;70273;Europa
Países Bajos;17533405;41543;Europa
Bélgica;11589623;30528;Europa
Suiza;8691406;41285;Europa
Austria;9006398;83879;Europa
Suecia;10415811;450295;Europa
Noruega;5421241;385207;Europa
Finlandia;5530719;338424;Europa
Dinamarca;5831404;43094;Europa
Polonia;37950802;312696;Europa
Ucrania;41167336;603628;Europa
Grecia;10423054;131957;Europa
Hungría;9749763;93028;Europa
República Checa;10701777;78865;Europa
Egipto;104258327;1002450;África
Sudáfrica;59308690;1221037;África
Nigeria;211400708;923768;África
Kenia;53771300;580367;África
Marruecos;36910560;446550;África
Argelia;44700000;2381741;África
Túnez;11818619;163610;África
Etiopía;117876227;1104300;África
Ghana;31072940;238533;África
Tanzania;61498500;947303;África
Australia;25687041;7692024;Oceanía
Nueva Zelanda;5122600;268021;Oceanía
Fiyi;896444;18274;Oceanía
Papúa Nueva Guinea;9119000;462840;Oceanía
Samoa;200149;2842;Oceanía
Nepal;29136808;147181;Asia
Afganistán;40218234;652230;Asia
Irán;85028759;1648195;Asia
Irak;43533592;438317;Asia
Siria;18275702;185180;Asia
Jordania;11148278;89342;Asia
Líbano;6825445;10452;Asia
Qatar;2930528;11586;Asia
Emiratos Árabes Unidos;9890400;83600;Asia
Omán;4520471;309500;Asia
Yemen;30490640;527968;Asia
Sri Lanka;22156000;65610;Asia
Myanmar;54409800;676578;Asia
Camboya;16718965;181035;Asia
Laos;7275560;236800;Asia
Mongolia;3347782;1564116;Asia
Islandia;372520;103000;Europa
Luxemburgo;645397;2586;Europa
Croacia;3888529;56594;Europa
Serbia;6908224;88361;Europa
Rumania;19186201;238397;Europa
Bulgaria;6844597;110994;Europa
Eslovaquia;5459642;49035;Europa
Eslovenia;2108977;20273;Europa
Estonia;1331057;45227;Europa
Letonia;1886198;64589;Europa
Lituania;2794700;65300;Europa
Cuba;11326616;109884;América
República Dominicana;10953540;48671;América
Costa Rica;5153957;51100;América
Panamá;4351267;75417;América
Guatemala;17915568;108889;América
Honduras;10062991;112492;América
El Salvador;6486201;21041;América
Nicaragua;6702200;130373;América
Jamaica;2961167;10991;América
Senegal;17400000;196722;África
Cabo Verde;530000;4033;África
Costa de Marfil;28400000;322463;África
República Democrática del Congo;95000000;2344858;África
Uzbekistán;35000000;447400;Asia
Jordania;11148278;89342;Asia
Irak;43533592;438317;Asia
Escocia;5463300;77933;Europa
Haití;11700000;27750;América
Curazao;185000;444;América

